"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA.nlogo"
"teste1"
"10/20/2023 10:58:20:622 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percC","percV","percA","tempo_descanso","penergH","energiaAlimento","nhienas","qenergia","penergL","nleao","[step]","count turtles","count leoes","count hienas"
"9","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"2","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"7","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"10","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"8","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"5","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"4","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"3","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"6","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"8","5","2","5","50","0.5","26","40","100","0.5","40","1","80","40","40"
"7","5","2","5","50","0.5","26","40","100","0.5","40","1","80","40","40"
"3","5","2","5","50","0.5","26","40","100","0.5","40","1","79","40","39"
"1","5","2","5","50","0.5","26","40","100","0.5","40","0","80","40","40"
"6","5","2","5","50","0.5","26","40","100","0.5","40","1","80","40","40"
"5","5","2","5","50","0.5","26","40","100","0.5","40","1","79","40","39"
"7","5","2","5","50","0.5","26","40","100","0.5","40","2","79","39","40"
"2","5","2","5","50","0.5","26","40","100","0.5","40","1","80","40","40"
"10","5","2","5","50","0.5","26","40","100","0.5","40","1","80","40","40"
"3","5","2","5","50","0.5","26","40","100","0.5","40","2","78","39","39"
"4","5","2","5","50","0.5","26","40","100","0.5","40","1","79","40","39"
"8","5","2","5","50","0.5","26","40","100","0.5","40","2","78","39","39"
"9","5","2","5","50","0.5","26","40","100","0.5","40","1","79","40","39"
"6","5","2","5","50","0.5","26","40","100","0.5","40","2","78","40","38"
"5","5","2","5","50","0.5","26","40","100","0.5","40","2","79","40","39"
"10","5","2","5","50","0.5","26","40","100","0.5","40","2","80","40","40"
"2","5","2","5","50","0.5","26","40","100","0.5","40","2","79","40","39"
"4","5","2","5","50","0.5","26","40","100","0.5","40","2","79","40","39"
"3","5","2","5","50","0.5","26","40","100","0.5","40","3","78","39","39"
"9","5","2","5","50","0.5","26","40","100","0.5","40","2","78","40","38"
"8","5","2","5","50","0.5","26","40","100","0.5","40","3","78","39","39"
"7","5","2","5","50","0.5","26","40","100","0.5","40","3","78","39","39"
"4","5","2","5","50","0.5","26","40","100","0.5","40","3","78","40","38"
"6","5","2","5","50","0.5","26","40","100","0.5","40","3","77","40","37"
"5","5","2","5","50","0.5","26","40","100","0.5","40","3","79","40","39"
"10","5","2","5","50","0.5","26","40","100","0.5","40","3","79","40","39"
"2","5","2","5","50","0.5","26","40","100","0.5","40","3","79","40","39"
"9","5","2","5","50","0.5","26","40","100","0.5","40","3","77","39","38"
"1","5","2","5","50","0.5","26","40","100","0.5","40","1","78","40","38"
"3","5","2","5","50","0.5","26","40","100","0.5","40","4","77","38","39"
"8","5","2","5","50","0.5","26","40","100","0.5","40","4","75","39","36"
"2","5","2","5","50","0.5","26","40","100","0.5","40","4","79","40","39"
"10","5","2","5","50","0.5","26","40","100","0.5","40","4","79","40","39"
"7","5","2","5","50","0.5","26","40","100","0.5","40","4","78","39","39"
"5","5","2","5","50","0.5","26","40","100","0.5","40","4","79","40","39"
"4","5","2","5","50","0.5","26","40","100","0.5","40","4","78","40","38"
"6","5","2","5","50","0.5","26","40","100","0.5","40","4","77","40","37"
"9","5","2","5","50","0.5","26","40","100","0.5","40","4","73","38","35"
"3","5","2","5","50","0.5","26","40","100","0.5","40","5","75","38","37"
"7","5","2","5","50","0.5","26","40","100","0.5","40","5","78","39","39"
"10","5","2","5","50","0.5","26","40","100","0.5","40","5","79","40","39"
"2","5","2","5","50","0.5","26","40","100","0.5","40","5","78","40","38"
"5","5","2","5","50","0.5","26","40","100","0.5","40","5","78","40","38"
"4","5","2","5","50","0.5","26","40","100","0.5","40","5","78","40","38"
"8","5","2","5","50","0.5","26","40","100","0.5","40","5","75","39","36"
"6","5","2","5","50","0.5","26","40","100","0.5","40","5","77","40","37"
"9","5","2","5","50","0.5","26","40","100","0.5","40","5","72","38","34"
"3","5","2","5","50","0.5","26","40","100","0.5","40","6","75","38","37"
"10","5","2","5","50","0.5","26","40","100","0.5","40","6","78","39","39"
"5","5","2","5","50","0.5","26","40","100","0.5","40","6","78","40","38"
"2","5","2","5","50","0.5","26","40","100","0.5","40","6","77","40","37"
"7","5","2","5","50","0.5","26","40","100","0.5","40","6","78","39","39"
"8","5","2","5","50","0.5","26","40","100","0.5","40","6","75","39","36"
"3","5","2","5","50","0.5","26","40","100","0.5","40","7","73","37","36"
"4","5","2","5","50","0.5","26","40","100","0.5","40","6","76","39","37"
"9","5","2","5","50","0.5","26","40","100","0.5","40","6","72","38","34"
"6","5","2","5","50","0.5","26","40","100","0.5","40","6","74","38","36"
"1","5","2","5","50","0.5","26","40","100","0.5","40","2","78","40","38"
"9","5","2","5","50","0.5","26","40","100","0.5","40","7","69","38","31"
"2","5","2","5","50","0.5","26","40","100","0.5","40","7","77","40","37"
"10","5","2","5","50","0.5","26","40","100","0.5","40","7","78","39","39"
"5","5","2","5","50","0.5","26","40","100","0.5","40","7","78","40","38"
"8","5","2","5","50","0.5","26","40","100","0.5","40","7","75","39","36"
"3","5","2","5","50","0.5","26","40","100","0.5","40","8","71","37","34"
"4","5","2","5","50","0.5","26","40","100","0.5","40","7","75","38","37"
"6","5","2","5","50","0.5","26","40","100","0.5","40","7","74","38","36"
"7","5","2","5","50","0.5","26","40","100","0.5","40","7","77","39","38"
"9","5","2","5","50","0.5","26","40","100","0.5","40","8","68","37","31"
"10","5","2","5","50","0.5","26","40","100","0.5","40","8","77","39","38"
"5","5","2","5","50","0.5","26","40","100","0.5","40","8","78","40","38"
"3","5","2","5","50","0.5","26","40","100","0.5","40","9","71","37","34"
