"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA.nlogo"
"teste3"
"10/20/2023 11:08:58:449 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percC","percV","percA","tempo_descanso","penergH","energiaAlimento","nhienas","qenergia","penergL","nleao","[step]","count turtles","count leoes","count hienas"
"8","20","7","1","20","0.5","25","50","50","0.5","50","12","86","49","37"
"3","20","7","1","20","0.5","25","50","50","0.5","50","10","90","49","41"
"10","20","7","1","20","0.5","25","50","50","0.5","50","9","88","46","42"
"4","20","7","1","20","0.5","25","50","50","0.5","50","9","88","46","42"
"5","20","7","1","20","0.5","25","50","50","0.5","50","11","81","46","35"
"7","20","7","1","20","0.5","25","50","50","0.5","50","6","93","47","46"
"2","20","7","1","20","0.5","25","50","50","0.5","50","4","95","50","45"
"6","20","7","1","20","0.5","25","50","50","0.5","50","11","92","49","43"
"9","20","7","1","20","0.5","25","50","50","0.5","50","10","92","49","43"
"4","20","7","1","20","0.5","25","50","50","0.5","50","10","87","46","41"
"10","20","7","1","20","0.5","25","50","50","0.5","50","10","86","46","40"
"3","20","7","1","20","0.5","25","50","50","0.5","50","11","90","49","41"
"5","20","7","1","20","0.5","25","50","50","0.5","50","12","79","46","33"
"6","20","7","1","20","0.5","25","50","50","0.5","50","12","91","49","42"
"8","20","7","1","20","0.5","25","50","50","0.5","50","13","86","49","37"
"9","20","7","1","20","0.5","25","50","50","0.5","50","11","92","49","43"
"7","20","7","1","20","0.5","25","50","50","0.5","50","7","93","47","46"
"4","20","7","1","20","0.5","25","50","50","0.5","50","11","86","46","40"
"10","20","7","1","20","0.5","25","50","50","0.5","50","11","84","45","39"
"8","20","7","1","20","0.5","25","50","50","0.5","50","14","83","48","35"
"3","20","7","1","20","0.5","25","50","50","0.5","50","12","90","49","41"
"9","20","7","1","20","0.5","25","50","50","0.5","50","12","90","49","41"
"6","20","7","1","20","0.5","25","50","50","0.5","50","13","90","49","41"
"3","20","7","1","20","0.5","25","50","50","0.5","50","13","89","49","40"
"8","20","7","1","20","0.5","25","50","50","0.5","50","15","83","48","35"
"7","20","7","1","20","0.5","25","50","50","0.5","50","8","90","47","43"
"2","20","7","1","20","0.5","25","50","50","0.5","50","5","93","49","44"
"5","20","7","1","20","0.5","25","50","50","0.5","50","13","78","46","32"
"6","20","7","1","20","0.5","25","50","50","0.5","50","14","89","49","40"
"8","20","7","1","20","0.5","25","50","50","0.5","50","16","82","48","34"
"9","20","7","1","20","0.5","25","50","50","0.5","50","13","87","48","39"
"3","20","7","1","20","0.5","25","50","50","0.5","50","14","88","48","40"
"10","20","7","1","20","0.5","25","50","50","0.5","50","12","84","45","39"
"7","20","7","1","20","0.5","25","50","50","0.5","50","9","89","47","42"
"2","20","7","1","20","0.5","25","50","50","0.5","50","6","91","47","44"
"4","20","7","1","20","0.5","25","50","50","0.5","50","12","85","46","39"
"8","20","7","1","20","0.5","25","50","50","0.5","50","17","81","48","33"
"5","20","7","1","20","0.5","25","50","50","0.5","50","14","78","46","32"
"3","20","7","1","20","0.5","25","50","50","0.5","50","15","86","48","38"
"10","20","7","1","20","0.5","25","50","50","0.5","50","13","84","45","39"
"9","20","7","1","20","0.5","25","50","50","0.5","50","14","87","48","39"
"8","20","7","1","20","0.5","25","50","50","0.5","50","18","80","48","32"
"6","20","7","1","20","0.5","25","50","50","0.5","50","15","89","49","40"
"4","20","7","1","20","0.5","25","50","50","0.5","50","13","83","46","37"
"3","20","7","1","20","0.5","25","50","50","0.5","50","16","86","48","38"
"9","20","7","1","20","0.5","25","50","50","0.5","50","15","86","48","38"
"8","20","7","1","20","0.5","25","50","50","0.5","50","19","79","48","31"
"7","20","7","1","20","0.5","25","50","50","0.5","50","10","87","46","41"
"5","20","7","1","20","0.5","25","50","50","0.5","50","15","76","45","31"
"10","20","7","1","20","0.5","25","50","50","0.5","50","14","84","45","39"
"3","20","7","1","20","0.5","25","50","50","0.5","50","17","84","47","37"
"8","20","7","1","20","0.5","25","50","50","0.5","50","20","79","48","31"
"2","20","7","1","20","0.5","25","50","50","0.5","50","7","91","47","44"
"4","20","7","1","20","0.5","25","50","50","0.5","50","14","83","46","37"
"7","20","7","1","20","0.5","25","50","50","0.5","50","11","87","46","41"
"6","20","7","1","20","0.5","25","50","50","0.5","50","16","86","49","37"
"5","20","7","1","20","0.5","25","50","50","0.5","50","16","74","45","29"
"10","20","7","1","20","0.5","25","50","50","0.5","50","15","83","45","38"
"3","20","7","1","20","0.5","25","50","50","0.5","50","18","84","47","37"
"1","20","7","1","20","0.5","25","50","50","0.5","50","1","95","50","45"
"8","20","7","1","20","0.5","25","50","50","0.5","50","21","79","48","31"
"3","20","7","1","20","0.5","25","50","50","0.5","50","19","83","47","36"
"10","20","7","1","20","0.5","25","50","50","0.5","50","16","82","45","37"
"6","20","7","1","20","0.5","25","50","50","0.5","50","17","83","49","34"
"4","20","7","1","20","0.5","25","50","50","0.5","50","15","81","45","36"
"9","20","7","1","20","0.5","25","50","50","0.5","50","16","85","48","37"
"5","20","7","1","20","0.5","25","50","50","0.5","50","17","72","45","27"
"2","20","7","1","20","0.5","25","50","50","0.5","50","8","91","47","44"
"3","20","7","1","20","0.5","25","50","50","0.5","50","20","82","47","35"
"7","20","7","1","20","0.5","25","50","50","0.5","50","12","84","46","38"
"8","20","7","1","20","0.5","25","50","50","0.5","50","22","77","48","29"
"4","20","7","1","20","0.5","25","50","50","0.5","50","16","81","45","36"
"5","20","7","1","20","0.5","25","50","50","0.5","50","18","72","45","27"
"6","20","7","1","20","0.5","25","50","50","0.5","50","18","81","49","32"
"3","20","7","1","20","0.5","25","50","50","0.5","50","21","79","47","32"
"5","20","7","1","20","0.5","25","50","50","0.5","50","19","71","45","26"
"7","20","7","1","20","0.5","25","50","50","0.5","50","13","84","46","38"
"2","20","7","1","20","0.5","25","50","50","0.5","50","9","89","47","42"
"10","20","7","1","20","0.5","25","50","50","0.5","50","17","81","45","36"
"9","20","7","1","20","0.5","25","50","50","0.5","50","17","85","48","37"
"6","20","7","1","20","0.5","25","50","50","0.5","50","19","80","48","32"
"8","20","7","1","20","0.5","25","50","50","0.5","50","23","76","48","28"
"4","20","7","1","20","0.5","25","50","50","0.5","50","17","80","45","35"
"3","20","7","1","20","0.5","25","50","50","0.5","50","22","78","47","31"
"5","20","7","1","20","0.5","25","50","50","0.5","50","20","69","45","24"
"4","20","7","1","20","0.5","25","50","50","0.5","50","18","79","45","34"
"6","20","7","1","20","0.5","25","50","50","0.5","50","20","80","48","32"
"7","20","7","1","20","0.5","25","50","50","0.5","50","14","81","46","35"
"9","20","7","1","20","0.5","25","50","50","0.5","50","18","84","48","36"
