"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","287","143","144"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","6","317","158","159"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","299","137","162"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","315","161","154"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","354","174","180"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","289","144","145"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","308","138","170"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","313","135","178"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","333","165","168"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","7","313","169","144"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","335","177","158"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","341","166","175"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","381","189","192"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","314","147","167"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","301","148","153"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","348","149","199"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","341","178","163"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","312","142","170"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","353","171","182"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","8","337","181","156"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","340","166","174"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","361","176","185"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","400","201","199"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","321","152","169"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","351","186","165"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","360","150","210"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","324","144","180"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","374","183","191"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","421","214","207"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","360","176","184"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","356","185","171"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","9","371","174","197"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","335","161","174"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","12","374","203","171"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","10","376","151","225"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","13","447","228","219"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","11","384","186","198"
