"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA.nlogo"
"teste2"
"10/20/2023 11:08:44:529 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percC","percV","percA","tempo_descanso","penergH","energiaAlimento","nhienas","qenergia","penergL","nleao","[step]","count turtles","count leoes","count hienas"
"4","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"6","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"7","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"9","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"2","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"10","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"8","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"5","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"3","5","2","1","10","0.5","26","50","100","0.5","20","0","70","20","50"
"6","5","2","1","10","0.5","26","50","100","0.5","20","1","69","20","49"
"7","5","2","1","10","0.5","26","50","100","0.5","20","1","70","20","50"
"4","5","2","1","10","0.5","26","50","100","0.5","20","1","69","20","49"
"6","5","2","1","10","0.5","26","50","100","0.5","20","2","69","20","49"
"10","5","2","1","10","0.5","26","50","100","0.5","20","1","68","20","48"
"6","5","2","1","10","0.5","26","50","100","0.5","20","3","69","20","49"
"8","5","2","1","10","0.5","26","50","100","0.5","20","1","70","20","50"
"4","5","2","1","10","0.5","26","50","100","0.5","20","2","69","20","49"
"7","5","2","1","10","0.5","26","50","100","0.5","20","2","69","19","50"
"6","5","2","1","10","0.5","26","50","100","0.5","20","4","69","20","49"
"9","5","2","1","10","0.5","26","50","100","0.5","20","1","70","20","50"
"7","5","2","1","10","0.5","26","50","100","0.5","20","3","69","19","50"
"8","5","2","1","10","0.5","26","50","100","0.5","20","2","69","20","49"
"3","5","2","1","10","0.5","26","50","100","0.5","20","1","70","20","50"
"8","5","2","1","10","0.5","26","50","100","0.5","20","3","69","20","49"
"7","5","2","1","10","0.5","26","50","100","0.5","20","4","69","19","50"
"5","5","2","1","10","0.5","26","50","100","0.5","20","1","67","20","47"
"7","5","2","1","10","0.5","26","50","100","0.5","20","5","69","19","50"
"2","5","2","1","10","0.5","26","50","100","0.5","20","1","70","20","50"
"3","5","2","1","10","0.5","26","50","100","0.5","20","2","69","19","50"
"4","5","2","1","10","0.5","26","50","100","0.5","20","3","66","19","47"
"9","5","2","1","10","0.5","26","50","100","0.5","20","2","69","20","49"
"10","5","2","1","10","0.5","26","50","100","0.5","20","2","67","19","48"
"7","5","2","1","10","0.5","26","50","100","0.5","20","6","69","19","50"
"2","5","2","1","10","0.5","26","50","100","0.5","20","2","70","20","50"
"8","5","2","1","10","0.5","26","50","100","0.5","20","4","69","20","49"
"6","5","2","1","10","0.5","26","50","100","0.5","20","5","69","20","49"
"6","5","2","1","10","0.5","26","50","100","0.5","20","6","68","20","48"
"5","5","2","1","10","0.5","26","50","100","0.5","20","2","67","20","47"
"7","5","2","1","10","0.5","26","50","100","0.5","20","7","69","19","50"
"6","5","2","1","10","0.5","26","50","100","0.5","20","7","67","20","47"
"5","5","2","1","10","0.5","26","50","100","0.5","20","3","67","20","47"
"9","5","2","1","10","0.5","26","50","100","0.5","20","3","68","19","49"
"4","5","2","1","10","0.5","26","50","100","0.5","20","4","66","19","47"
"10","5","2","1","10","0.5","26","50","100","0.5","20","3","66","18","48"
"6","5","2","1","10","0.5","26","50","100","0.5","20","8","67","20","47"
"5","5","2","1","10","0.5","26","50","100","0.5","20","4","67","20","47"
"8","5","2","1","10","0.5","26","50","100","0.5","20","5","68","19","49"
"7","5","2","1","10","0.5","26","50","100","0.5","20","8","69","19","50"
"9","5","2","1","10","0.5","26","50","100","0.5","20","4","68","19","49"
"2","5","2","1","10","0.5","26","50","100","0.5","20","3","69","20","49"
"6","5","2","1","10","0.5","26","50","100","0.5","20","9","66","20","46"
"4","5","2","1","10","0.5","26","50","100","0.5","20","5","64","18","46"
"3","5","2","1","10","0.5","26","50","100","0.5","20","3","69","19","50"
"8","5","2","1","10","0.5","26","50","100","0.5","20","6","68","19","49"
"10","5","2","1","10","0.5","26","50","100","0.5","20","4","66","18","48"
"5","5","2","1","10","0.5","26","50","100","0.5","20","5","67","20","47"
"6","5","2","1","10","0.5","26","50","100","0.5","20","10","64","20","44"
"7","5","2","1","10","0.5","26","50","100","0.5","20","9","68","19","49"
"8","5","2","1","10","0.5","26","50","100","0.5","20","7","67","19","48"
"3","5","2","1","10","0.5","26","50","100","0.5","20","4","69","19","50"
"2","5","2","1","10","0.5","26","50","100","0.5","20","4","68","20","48"
"9","5","2","1","10","0.5","26","50","100","0.5","20","5","68","19","49"
"6","5","2","1","10","0.5","26","50","100","0.5","20","11","63","20","43"
"7","5","2","1","10","0.5","26","50","100","0.5","20","10","67","19","48"
"5","5","2","1","10","0.5","26","50","100","0.5","20","6","67","20","47"
"8","5","2","1","10","0.5","26","50","100","0.5","20","8","66","19","47"
"3","5","2","1","10","0.5","26","50","100","0.5","20","5","68","18","50"
"6","5","2","1","10","0.5","26","50","100","0.5","20","12","63","20","43"
"7","5","2","1","10","0.5","26","50","100","0.5","20","11","64","18","46"
"2","5","2","1","10","0.5","26","50","100","0.5","20","5","67","20","47"
"9","5","2","1","10","0.5","26","50","100","0.5","20","6","68","19","49"
"10","5","2","1","10","0.5","26","50","100","0.5","20","5","66","18","48"
"6","5","2","1","10","0.5","26","50","100","0.5","20","13","63","20","43"
"8","5","2","1","10","0.5","26","50","100","0.5","20","9","65","18","47"
"7","5","2","1","10","0.5","26","50","100","0.5","20","12","64","18","46"
"4","5","2","1","10","0.5","26","50","100","0.5","20","6","63","18","45"
"3","5","2","1","10","0.5","26","50","100","0.5","20","6","68","18","50"
"5","5","2","1","10","0.5","26","50","100","0.5","20","7","67","20","47"
"2","5","2","1","10","0.5","26","50","100","0.5","20","6","66","20","46"
"7","5","2","1","10","0.5","26","50","100","0.5","20","13","64","18","46"
"8","5","2","1","10","0.5","26","50","100","0.5","20","10","64","18","46"
"6","5","2","1","10","0.5","26","50","100","0.5","20","14","63","20","43"
"9","5","2","1","10","0.5","26","50","100","0.5","20","7","68","19","49"
"7","5","2","1","10","0.5","26","50","100","0.5","20","14","63","18","45"
"10","5","2","1","10","0.5","26","50","100","0.5","20","6","64","17","47"
"5","5","2","1","10","0.5","26","50","100","0.5","20","8","67","20","47"
"6","5","2","1","10","0.5","26","50","100","0.5","20","15","63","20","43"
"3","5","2","1","10","0.5","26","50","100","0.5","20","7","67","18","49"
"2","5","2","1","10","0.5","26","50","100","0.5","20","7","65","20","45"
"9","5","2","1","10","0.5","26","50","100","0.5","20","8","68","19","49"
"7","5","2","1","10","0.5","26","50","100","0.5","20","15","63","18","45"
